Filename,Run Count,Last Run Date
"C:\Users\Eduardo\AppData\Local\qBittorrent\nova3\engines\jackett.json",5,133375822758471911
"C:\Users\Eduardo\.dotfiles\Browser\Brave\User Data\Default\Cache\Cache_Data\data_0",3,133373929966858703
"C:\Program Files\Alacritty",1,133377471253189085
"C:\Users\Eduardo\.ssh\id_ed25519.pub",1,133377258499462546
"C:\Users\Eduardo\.ssh\id_ed25519",1,133377258440986241
"C:\Users\Eduardo\Global\Windows\Apps\PeaZip",1,133377253997543814
"C:\Users\Eduardo\.gitconfig",1,133376627766493126
"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MySQL\MySQL Server 8.1\MySQL 8.1 Command Line Client.lnk",1,133376565180065612
"C:\Users\Eduardo\Proton Drive\My files\Software\Windows\Bootstrapping Windows\Codecs\Ardfry-PSD-Codec.zip",1,133375509266597177
"C:\Users\Eduardo\Proton Drive\My files\Software\Windows\Bootstrapping Windows\Apps\Jackett.Installer.Windows.exe",1,133374501357282212
"C:\Program Files (x86)\Windows Kits\10\Assessment and Deployment Kit\Deployment Tools\amd64\Oscdimg",1,133373892624739826
"C:\Users\Eduardo\Proton Drive\My files\Software\Browser\Brave\CAD_CoreSettings_2023-08-24_09.21.57.json",1,133373535792732593
"C:\Users\Eduardo\.vscode\extensions\equinusocio.vsc-material-theme-icons-2.8.0\node_modules\meow\node_modules\resolve\test\resolver\nested_symlinks",1,133373302068025434
"C:\Users\Eduardo\.vscode\extensions\equinusocio.vsc-material-theme-icons-2.8.0\node_modules\conventional-changelog-core\node_modules\resolve\test\resolver\nested_symlinks",1,133373301992482237
"C:\Users\Eduardo\Start Menu",1,133373131360568757
"C:\ProgramData\Start Menu",1,133373131331563998
